Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
1SbK7OHdqsTUfzPVKylwND,"7FaGCZiP3s6X7jQTB8EhfI,7uTF7CgQzu55VR10qqG2yC",Arere Yekkada,Nenu Local,"Naresh Iyer,Manisha Eerabathini",12-01-2017,236617,62,spotify:user:31xa6ordlcr2yjwxivxdrvge72wm,2021-09-24T17:50:57Z,"filmi,telugu indie",0.789,0.789,0,-5.631,1,0.0463,0.535,0.00872,0.302,0.889,102.055,4
1NXSmIEOulY9u4TxwuSUoe,0aUQnP4HhUQXcurZl9GJIA,Evare,Premam,Vijay Yesudas,18-08-2016,309662,58,spotify:user:31xa6ordlcr2yjwxivxdrvge72wm,2021-09-24T17:51:00Z,filmi,0.462,0.456,11,-11.408,1,0.0302,0.773,0,0.087,0.403,82.499,3
2J66O8gYIqJy3YffPMV1eU,2nWYQRy7Ikh7CyWnvZZouD,Naalo Maimarapu,Oh Baby,Mohana Bhogaraju,10-06-2019,228533,43,spotify:user:31xa6ordlcr2yjwxivxdrvge72wm,2021-09-24T17:51:04Z,"telugu indie,tollywood",0.724,0.292,0,-11.83,1,0.0385,0.787,0.216,0.0892,0.67,87.989,4
0nUqmLja5dpfk2mdTpss9t,"06V3WlbxMpgl639AJoFH7C,78qmjdCxeGrzTTPSlvieS7",Ala Vaikunthapurramuloo,Ala Vaikunthapurramuloo,"Sri Krishna,Priya Sisters",06-01-2020,193874,47,spotify:user:31xa6ordlcr2yjwxivxdrvge72wm,2021-09-24T17:51:07Z,"tollywood,carnatic,carnatic vocal,indian classical",0.405,0.495,6,-10.837,0,0.11,0.836,0.0525,0.366,0.372,100.983,4
6yVeYqlH4yUGgMFoBa1qlA,"3QL2xVnI7n5Fng1l4e56AP,4xbLzGsR7W5QMlLS08BNGt",Akalesthey,Shankardada Zindabad,"Mamta Mohandas,Naveen",03-07-2007,258967,55,spotify:user:31xa6ordlcr2yjwxivxdrvge72wm,2021-09-24T17:51:11Z,"tollywood,tamil pop",0.889,0.784,1,-9.257,1,0.0595,0.0371,0.0347,0.0568,0.729,131.983,4
4oBhE31sIakxf8bSPHuRT1,2nWYQRy7Ikh7CyWnvZZouD,Bullettu Bandi,Bullettu Bandi,Mohana Bhogaraju,07-04-2021,282545,55,spotify:user:31xa6ordlcr2yjwxivxdrvge72wm,2021-09-24T17:51:16Z,"telugu indie,tollywood",0.593,0.911,3,-2.27,0,0.171,0.232,0,0.0852,0.904,164.898,3
0osnJEcmFX4tzO9MS8feMn,"3RiwMIK2NXH21U7A0mxZRt,7zFlr6Y537SdALqy0Xfvth",Aa Ante,Aarya,"Malathi,Ranjith Govind",19-04-2004,305560,56,spotify:user:31xa6ordlcr2yjwxivxdrvge72wm,2021-09-24T17:51:23Z,"tollywood,filmi,tamil pop",0.781,0.829,7,-7.811,1,0.241,0.0343,0.00502,0.0826,0.733,102.026,4
5JU41CPTFybAPnRu8QCJHR,"0WiZi3Q419nMpAQEqfBCbk,10CItw8tdXThklMWPI55vu",Naalo Nenu,Shatamanam Bhavati,"Mickey J. Meyer,Sameera Bharadwaj",18-12-2016,226986,51,spotify:user:31xa6ordlcr2yjwxivxdrvge72wm,2021-09-24T17:51:24Z,tollywood,0.712,0.674,1,-5.323,0,0.0257,0.481,0.000122,0.107,0.577,93.998,4
3pfOx6tLURwAdWHJoZRWiZ,7GukH9jLUDZnIetjYfV704,Yenniyalo Yenniyalo,Raja The Great,Sai Karthik,18-09-2017,247152,29,spotify:user:31xa6ordlcr2yjwxivxdrvge72wm,2021-09-24T17:51:33Z,tollywood,0.918,0.759,7,-5.592,1,0.0822,0.0899,0,0.0617,0.815,129.999,4
0e9FzHqxLo4HQ1vfFtrOID,"5iFKS1bnBNFWBAmd7mi0vf,4xVrxpa8IgoLneQbdPnSsk",Love Dhebba (From Nannaku Prematho),Telugu Love Songs Vol - 1,"Deepak Blue,Sravana Bhargavi",13-02-2020,234763,19,spotify:user:31xa6ordlcr2yjwxivxdrvge72wm,2021-09-24T17:51:39Z,"tollywood,filmi",0.806,0.77,6,-5.819,1,0.108,0.0917,0.000232,0.0935,0.906,134.948,4
5fl5pJKjWwJgRkbZfZzyGw,"0RMsiUCTjsdGjoKyhEm8Y4,3mD3yGNUOy3kDHv7I6OTuc",Kevvu Keka,Gabbar Singh,"Mamta Sharma,Kushi Murali",15-04-2012,247361,55,spotify:user:31xa6ordlcr2yjwxivxdrvge72wm,2021-09-24T17:51:43Z,"filmi,modern bollywood",0.672,0.918,7,-1.455,1,0.168,0.159,0.00158,0.415,0.872,169.842,4
7lf3b4gGfzDn2XD0pra7wH,5sSzCxHtgL82pYDvx2QyEU,Mr. Perfect - DSP Mix,Aarya - 2 (Original Motion Picture Soundtrack),Devi Sri Prasad,30-10-2009,256773,36,spotify:user:31xa6ordlcr2yjwxivxdrvge72wm,2021-09-24T17:52:02Z,tollywood,0.82,0.979,10,-3.707,0,0.127,0.205,0.0534,0.123,0.899,105.014,4
3WGkAjS44xJdoUb1H4Gzaz,"3cowxATurZfjWsJC4uEHsl,3RiwMIK2NXH21U7A0mxZRt",Kodi Koora,Andarivaadu,"Jassie Gift,Malathi",04-06-2005,294123,45,spotify:user:31xa6ordlcr2yjwxivxdrvge72wm,2021-09-24T17:52:05Z,"filmi,tollywood",0.782,0.948,4,-7.101,0,0.17,0.423,0.000682,0.16,0.823,102.957,4
0ysoCXLpWyLxh3bUie4ZB1,"3cowxATurZfjWsJC4uEHsl,19Njdm6B5p37RchYlaHNVI",Sakkubayiney,Chandamama,"Jassie Gift,Mamata Mohandas",01-07-2009,274454,78,spotify:user:31xa6ordlcr2yjwxivxdrvge72wm,2021-09-24T17:52:16Z,filmi,0.592,0.913,1,-4.903,0,0.328,0.19,0,0.236,0.845,102.495,3
6adrkXOmPex66DvtZmsv3R,"5sehJiCiH15ihXYCKyEALX,4Q1srPVPObLkyNrevKLi5Q",Maar Maar,Venky,"Manikka Vinayagam,Srilekha Parthasarathy",26-03-2004,314093,30,spotify:user:31xa6ordlcr2yjwxivxdrvge72wm,2021-09-24T17:52:39Z,"filmi,indian percussion,tamil pop",0.799,0.863,10,-6.583,0,0.184,0.15,0,0.0659,0.832,77.505,4
4IdLaIe9XXz7n259uQUfrq,"2ae6PxICSOZHvjqiCcgon8,2JEjaa7hWhE1BbL3OcoeFR,12l1SqSNsg2mI2IcXpPWjR",Ekasekatatha,Sitha Rama Raju,"S. P. Balasubrahmanyam,Sujatha,M. M. Keeravani",1999,317701,27,spotify:user:31xa6ordlcr2yjwxivxdrvge72wm,2021-09-24T17:52:56Z,"filmi,malayalam pop,vintage tollywood",0.941,0.726,11,-7.164,0,0.0938,0.0822,0.000397,0.129,0.634,108.932,4
3IXuEovuwdveh79okfJJKz,0L5f9aJIaxQXTipZ7uQYiC,Ey Papa,Nakshatram,Bheems Ceciroleo,05-07-2017,218650,20,spotify:user:31xa6ordlcr2yjwxivxdrvge72wm,2021-09-24T17:52:57Z,tollywood,0.51,0.766,6,-6.267,0,0.0952,0.452,0.0000088,0.162,0.427,190.031,4
1bJyyYSIiCiUuee6bmRaiS,"4eqUmWQwI1nm86edvyGsXy,6H8pKYxkF2q0vUmSNwmrL3",Masthana,Super,"Sandeep Chowta,Nikita Nigam",21-07-2005,307696,36,spotify:user:31xa6ordlcr2yjwxivxdrvge72wm,2021-09-24T17:53:08Z,,0.721,0.877,5,-8.069,0,0.0396,0.0777,0.0144,0.0942,0.969,125.003,4
1Pgy1SDA25gPsZLTUQqzRp,"0L5f9aJIaxQXTipZ7uQYiC,7FtuQ5LCrZa0813JkrBQe4",Kodante Kodi Kaadhu,Joru,"Bheems Ceciroleo,Bhargavi Pillai",01-08-2014,225232,69,spotify:user:31xa6ordlcr2yjwxivxdrvge72wm,2021-09-24T17:53:11Z,tollywood,0.802,0.955,5,-3.271,0,0.286,0.629,0.00000209,0.066,0.869,89.895,4
211qfTDgiBi2jb9ydY51WY,4tejKImNVmDcORNBuZ1l14,Mathuvadalara - Theme,Mathuvadalara (Original Motion Picture Soundtrack),Kala Bhairava,13-01-2020,186890,12,spotify:user:31xa6ordlcr2yjwxivxdrvge72wm,2021-09-24T17:53:14Z,tollywood,0.502,0.89,9,-4.566,0,0.0557,0.0553,0.912,0.398,0.357,170.386,4
4ABJ644TuwZ7gvVsJSidbd,4kq8z3vydHjPDggxb16ErB,Pushpa,Touch Chesi Chudu,Nakash Aziz,2018,241266,62,spotify:user:31xa6ordlcr2yjwxivxdrvge72wm,2021-09-24T17:53:23Z,tollywood,0.873,0.836,1,-6.877,1,0.0309,0.307,0.0014,0.0501,0.965,127.98,4
3Ux0altLXUHJsM1x1WTT5X,"4IKVDbCSBTxBeAsMKjAuTs,1CkwnsBrebSkCRSlVdZa0J",Gundello,Raktacharitra,"Armaan Malik,Shree Kumar",15-01-2013,268946,26,spotify:user:31xa6ordlcr2yjwxivxdrvge72wm,2021-09-24T17:53:28Z,"filmi,modern bollywood",0.644,0.784,0,-9.629,0,0.06,0.00904,0.00141,0.42,0.341,106.453,3
1YxOiTuveJM4seiw0p6NeS,"1FpxWLEKhs3fsDL1fXDBHl,3wW1paXfLYaORsxO6LWqfa,2qt7cdQ7VlcZLacgEbMsnc",Dorikithe Chastavu,Raktacharitra,"Ravindra Upadhyay,Vishvesh Parmar,Sandeep Patil",15-01-2013,228000,46,spotify:user:31xa6ordlcr2yjwxivxdrvge72wm,2021-09-24T17:53:31Z,gujarati pop,0.496,0.938,6,-6.846,1,0.0918,0.303,0.00000233,0.0344,0.559,120.088,4
5YVc4TTEf246tT66Uzkqw5,"0LSPREIgGMZXCuKVel7LVD,2K9nbaz5q8FpSEajKMlVeH",Uyyale Uyyale,Game,"Karthik,Balaji",20-04-2013,314746,20,spotify:user:31xa6ordlcr2yjwxivxdrvge72wm,2021-09-24T17:53:32Z,filmi,0.782,0.768,9,-8.85,1,0.0519,0.184,0.00122,0.382,0.801,90.032,4
6oNsBdWRau0oCJ4Oy1d1ld,"6aQ5LDX0WlnyDLI8TGU0wK,2UbN2AxPOv8kc1x4J4SGjc",Prema Kanna,Astram,"Rajesh,Ananthu",23-06-2006,323320,23,spotify:user:31xa6ordlcr2yjwxivxdrvge72wm,2021-09-24T17:53:35Z,"sandalwood,tamil pop",0.645,0.6,5,-9.335,0,0.085,0.106,0.00000735,0.0988,0.438,176.176,4
7Bhj8vSkYs6FWFm9gGJ4Pp,"11Njn2opA7jlzD8emVjXqd,2IziVXnQX5wi8HcXtV869H",Maha Maha,Mantra (Original Motion Picture Soundtrack),"Madhumitha,Noel Sean",04-11-2007,233377,33,spotify:user:31xa6ordlcr2yjwxivxdrvge72wm,2021-09-24T17:53:42Z,,0.969,0.804,9,-5.902,0,0.0986,0.155,0.0000668,0.113,0.944,124.003,4
3zpibY8VhGkY6JGk1t8Hrk,"4K6blSRoklNdpw4mzLxwfn,3vSAPYBGtvhVcYBhBzbuVu",Idemitamma,Aayudham,"Kumar Sanu,Nishma",22-04-2003,305360,36,spotify:user:31xa6ordlcr2yjwxivxdrvge72wm,2021-09-24T17:53:53Z,"filmi,modern bollywood",0.759,0.841,1,-5.999,0,0.0988,0.325,0.00000803,0.348,0.775,93.03,4
1ZrHVYtuH4aAWkLAqFBqCr,5wr6cv6sLD88vQKkMy8w2H,Maatey Raani,Roudram,Ranina Reddy,26-11-2011,308464,51,spotify:user:31xa6ordlcr2yjwxivxdrvge72wm,2021-09-24T17:54:00Z,tollywood,0.649,0.35,8,-16.04,0,0.0465,0.641,0.0481,0.0867,0.487,85.974,4
5SqDQqyru3hjcxconzLFh8,0t4eFzytRmqMTKts5o479S,Yelugula Teraley,Yuddham Sharanam,Shaktisree Gopalan,28-08-2017,185057,61,spotify:user:31xa6ordlcr2yjwxivxdrvge72wm,2021-09-24T17:54:13Z,,0.584,0.542,11,-7.637,0,0.0619,0.463,0.0000221,0.164,0.416,126.093,4
4SsuuFv6KIPDNH7INZSlt6,"3oVTCMgAvt1x7EogVtX40H,71uiOUZtVwyMBQIpzh2WZo",Alijadalu Chaligilulu,Bandipotu,"Naveen Madhav,Janaki Iyer",15-01-2015,208017,56,spotify:user:31xa6ordlcr2yjwxivxdrvge72wm,2021-09-24T17:54:15Z,"tamil pop,kollywood",0.562,0.675,9,-8.17,0,0.0438,0.573,0.0105,0.0561,0.428,178.917,3
1KpUZmAg4RkaItZcSPlrXx,0LyfQWJT6nXafLPZqxe9Of,,,,0,0,0,spotify:user:31xa6ordlcr2yjwxivxdrvge72wm,2021-09-24T17:54:28Z,,0.776,0.604,7,-7.075,0,0.0331,0.559,0.0000191,0.465,0.734,109.929,4
3AzSFcbI1i5fPvQcsgVDDk,"70B80Lwx2sxti0M1Ng9e8K,2JEjaa7hWhE1BbL3OcoeFR",Kkokko Komali,Narasimha Naidu,"Udit Narayan,Sujatha",11-01-2001,298283,42,spotify:user:31xa6ordlcr2yjwxivxdrvge72wm,2021-09-24T17:54:35Z,"chutney,filmi,odia pop,malayalam pop",0.779,0.692,11,-7.817,1,0.064,0.103,0.00464,0.0994,0.74,95.991,4
7A3HdpivKNGgTW2Bo3udV8,"6CWBs7ul78QwnBrcOCwhf5,0WpkyIAATl5W540KCSEUwX",Nuvvunte,Aarya,"Sagar,Sumangaly",19-04-2004,311960,60,spotify:user:31xa6ordlcr2yjwxivxdrvge72wm,2021-09-24T17:54:48Z,tollywood,0.804,0.623,5,-9.891,0,0.0914,0.022,0,0.0759,0.711,97.963,4
1JLtM0dEzGsytDmvfzLAue,"2IUtwMti1OiT3lkW6RubgH,510EnwpC7W7qijFHEicQ9N",Nuvvasthanante,Varsham,"K. S. Chithra,Raqeeb Alam",17-12-2003,332578,53,spotify:user:31xa6ordlcr2yjwxivxdrvge72wm,2021-09-24T17:54:54Z,filmi,0.716,0.767,9,-8.476,0,0.258,0.0701,0.0000354,0.0521,0.571,129.94,4
